data;typ;tytul;zwyciezca;nip;link_pdf
2026-06-25;ZAMOWIENIE;Modernizacja dachu budynku biurowego MBP przy ul. Łukasiewicza 8 w Szczecinie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-1f6e456d-fb7b-45da-ae1a-131ed791a889
2026-06-25;ZAMOWIENIE;Modernizacja budynku Gminnego Przedszkola przy ul. Poprzecznej 5 w Owińskach obejmująca w szczególności dach;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-8bc48c26-7ea8-4e7e-a175-ea5bfa757f18
2026-06-25;ZAMOWIENIE;Poprawa wydajności energetycznej obiektu Szkoły Podstawowej im. Juliana Tuwima w Ostrowie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-0490ac06-37bd-447c-a37b-c718f3a9b73e
2026-06-25;ZAMOWIENIE;Modernizacja budynku świetlicy wiejskiej w miejscowości Rogowo;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-9c67c61b-eab6-43f2-b145-64729d49ad33
2026-06-26;ZAMOWIENIE;Budowa instalacji fotowoltaicznej z systemem magazynowania energii na budynkach biurowo-administracyjnych Nadleśnictwa Oborniki Śląskie w formule ,,zaprojektuj i wybuduj”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-8be35b15-10f1-452f-8c23-2de406ec4b8e
2026-06-26;ZAMOWIENIE;„Wymiana nawierzchni na schodach zewnętrznych wraz z dostosowaniem podjazdu dla osób z niepełnosprawnościami – wejście główne i oznaczeniem miejsc postojowych dla osób ze szczególnymi potrzebami”;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-0d5b1c01-6a88-468b-b644-9ecfb56e56f4
2026-06-26;ZAMOWIENIE;Rozwój energetyki rozproszonej opartej o odnawialne źródła energii;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-21c61c49-bad2-4c88-86c2-b15ee01060ea
2026-06-26;ZAMOWIENIE;Remont elewacji oraz dachu w budynku mieszkalnym wielorodzinnym przy ul. Kilińskiego 11 w Chojnowie, działka nr 87, obręb 6, jednostka ewidencyjna 020901_1 Chojnów;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-49da466b-b278-4bee-9e80-d8a520b5b05d
2026-06-26;ZAMOWIENIE;Międzyrzecz, ul. Malczewskiego 4 A-E – remont lukarn dachowych;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-e6e1a64f-d278-435f-9741-642a5f8d200b
2026-06-26;ZAMOWIENIE;Wykonanie remontu dachu w budynku Miejskiego Przedszkola nr 7 ul.Mireckiego 25A w Częstochowie;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-2bcd1445-f0f4-4e0f-b74f-3cafffeaac14
2026-06-27;ZAMOWIENIE;Dostosowanie budynku na magazyn OLiOC wraz z modernizacją nawierzchni przy budynku oraz ogrodzeniem terenu;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-aa1bd702-9321-481e-af48-5d36ba74bd41
2026-06-27;ZAMOWIENIE;Budowa budynku świetlicy wiejskiej m. Grabno, gmina Ustka;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-41d5e2fe-5936-4aaf-836e-d08cb97e0c58
2026-06-27;ZAMOWIENIE;Dostawa regałów magazynowych, taboretów oraz krzeseł laboratoryjnych;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-9e8e8064-5abc-4729-b3c8-79d316a8e08b
2026-06-28;ZAMOWIENIE;Modernizacja, naprawa infrastruktury do ujmowania, uzdatniania i dystrybucji wody;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-0f063671-b135-4430-888e-2da852370926
2026-06-28;ZAMOWIENIE;Przebudowa budynku gospodarczego na budynek magazynowy OLiOC w ramach zwiększenia gotowości Gminy Siedlisko na wypadek zagrożeń i sytuacji kryzysowych;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-7076c1fa-3b87-47ea-b89a-5bfa549a445a
2026-06-28;ZAMOWIENIE;Modernizacja budynku gospodarczego na potrzeby magazynu Obrony Cywilnej;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-d0c6cdfb-4df3-44f5-a31e-1d9b87d51145
2026-06-28;ZAMOWIENIE;Remont budynku użytkowego przy al. Krasińskiego 23 w Krakowie- etap I – remont świetlika w dachu oraz ścian ponad dachem wraz z robotami towarzyszącymi;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-f2c5ef50-e183-4926-93c0-6799bae360c3
2026-06-28;ZAMOWIENIE;Wykonanie kompleksu sportowo – rekreacyjnego wraz z zapleczem szatni i sanitariatami w miejscowości Kunów;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-4bd66982-d9d8-445a-81ae-e56326200dfa
2026-06-28;ZAMOWIENIE;Remont pokrycia dachowego w budynku położonym przy ul. Drzymały nr 11, 13 i 15 w Chojnicach;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-945d28a6-b3b8-4fd8-892f-3526682b0095
2026-06-28;ZAMOWIENIE;Wymiana pokrycia dachu budynku świetlicy wiejskiej w Słoneczniku;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-a9447809-6a26-419b-9028-155b43eea2af
2026-06-28;ZAMOWIENIE;Nadzór inwestorski nad zadaniem pn.: „FSZ – Działanie nr 4 – Poprawa efektywności energetycznej budynków oświatowych na terenie Gminy Miejskiej Jarosław” – Termomodernizacja MP nr 4;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-f6c8dcab-2e26-49d8-a7e6-605e3e827e29
2026-06-29;ZAMOWIENIE;Modernizacja świetlicy wiejskiej w Łukomiu, gm. Rościszewo;;;https://ezamowienia.gov.pl/mp-client/search/list/ocds-148610-8c83da52-75ef-46c3-a5c2-4ccb6271853d
